,lesbian,gay,bisexual,asexual,straight,TOTAL
Baby Daisy,7.0,4.0,39.0,1.0,8.0,59.0
Baby Luigi,2.0,5.0,34.0,3.0,22.0,66.0
Baby Mario,4.0,6.0,31.0,4.0,26.0,71.0
Baby Peach,17.0,10.0,121.0,2.0,18.0,168.0
Baby Rosalina,8.0,9.0,71.0,5.0,16.0,109.0
Birdo,0.0,2.0,13.0,1.0,1.0,17.0
Bowser,35.0,70.0,299.0,22.0,100.0,526.0
Bowser Jr.,3.0,17.0,40.0,2.0,24.0,86.0
Cat Peach,10.0,7.0,82.0,4.0,10.0,113.0
Princess Daisy,46.0,50.0,369.0,23.0,93.0,581.0
Diddy Kong,0.0,0.0,2.0,1.0,3.0,6.0
Donkey Kong,2.0,6.0,39.0,3.0,40.0,90.0
Dry Bones,26.0,44.0,274.0,25.0,97.0,466.0
Dry Bowser,6.0,10.0,53.0,7.0,15.0,91.0
Funky Kong,1.0,1.0,4.0,1.0,5.0,12.0
Gold Mario,0.0,2.0,3.0,1.0,5.0,11.0
Honey Queen,3.0,0.0,19.0,2.0,12.0,36.0
Iggy Koopa,2.0,10.0,23.0,3.0,16.0,54.0
Inkling Boy,3.0,14.0,31.0,5.0,16.0,69.0
Inkling Girl,17.0,4.0,86.0,11.0,29.0,147.0
Isabelle,37.0,18.0,193.0,20.0,40.0,308.0
King Boo,21.0,38.0,251.0,28.0,70.0,408.0
Koopa Troopa,11.0,17.0,96.0,8.0,54.0,186.0
Lakitu,0.0,6.0,16.0,1.0,11.0,34.0
Larry Koopa,0.0,4.0,22.0,2.0,9.0,37.0
Lemmy Koopa,1.0,9.0,28.0,6.0,14.0,58.0
Link,46.0,50.0,346.0,35.0,84.0,561.0
Ludwig,2.0,8.0,20.0,4.0,14.0,48.0
Luigi,53.0,61.0,485.0,52.0,179.0,830.0
Mario,23.0,32.0,184.0,21.0,154.0,414.0
Metal Mario,3.0,5.0,25.0,3.0,42.0,78.0
Mii,1.0,7.0,27.0,1.0,37.0,73.0
Morton,0.0,1.0,8.0,0.0,9.0,18.0
Paratroopa,0.0,0.0,0.0,0.0,1.0,1.0
Princess Peach,109.0,94.0,720.0,31.0,151.0,1105.0
Pink Gold Peach,22.0,19.0,115.0,7.0,35.0,198.0
R.O.B.,1.0,1.0,17.0,3.0,8.0,30.0
Rosalina,103.0,66.0,701.0,59.0,141.0,1070.0
Roy Koopa,2.0,19.0,47.0,3.0,25.0,96.0
Shy Guy,41.0,56.0,375.0,35.0,165.0,672.0
Tanooki Mario,4.0,3.0,30.0,0.0,9.0,46.0
Toad,77.0,72.0,496.0,51.0,190.0,886.0
Toadette,21.0,23.0,100.0,8.0,32.0,184.0
Villager Boy,8.0,15.0,70.0,5.0,36.0,134.0
Villager Girl,8.0,15.0,70.0,5.0,36.0,134.0
Waluigi,26.0,29.0,276.0,34.0,70.0,435.0
Wario,8.0,8.0,70.0,6.0,48.0,140.0
Wendy O. Koopa,3.0,10.0,12.0,3.0,6.0,34.0
Wiggler,1.0,0.0,2.0,0.0,1.0,4.0
Yoshi,81.0,68.0,643.0,61.0,224.0,1077.0
Peachette,0.0,0.0,1.0,0.0,1.0,2.0
TOTAL,905.0,1025.0,7079.0,618.0,2452.0,12079.0
